generation,best_fitness,mean_fitness,map75,f1
0,0.43224616678626976,0.3261840200582755,0.12482857172562827,0.6073822222598481
1,0.43224616678626976,0.320696186376913,0.12482857172562827,0.6073822222598481
2,0.43224616678626976,0.3255066124328696,0.12482857172562827,0.6073822222598481
3,0.43224616678626976,0.30887217503297243,0.12482857172562827,0.6073822222598481
4,0.43224616678626976,0.3139350406958193,0.12482857172562827,0.6073822222598481
5,0.43224616678626976,0.3309898011229354,0.12482857172562827,0.6073822222598481
6,0.5337902906112858,0.3462344559635096,0.17198637165461814,0.5093977779321943
7,0.5337902906112858,0.3511072595587409,0.17198637165461814,0.5093977779321943
8,0.5337902906112858,0.34954657516228604,0.17198637165461814,0.5093977779321943
9,0.5337902906112858,0.3461337921993452,0.17198637165461814,0.5093977779321943
10,0.5337902906112858,0.3330918399793922,0.17198637165461814,0.5093977779321943
11,0.5337902906112858,0.33784848611670115,0.17198637165461814,0.5093977779321943
12,0.5337902906112858,0.3323107966330194,0.17198637165461814,0.5093977779321943
13,0.5337902906112858,0.3511139971552941,0.17198637165461814,0.5093977779321943
14,0.5337902906112858,0.3464328846019004,0.17198637165461814,0.5093977779321943
15,0.5337902906112858,0.3511429622874048,0.17198637165461814,0.5093977779321943
16,0.5337902906112858,0.3385937245967131,0.17198637165461814,0.5093977779321943
17,0.5337902906112858,0.3521185403951024,0.17198637165461814,0.5093977779321943
18,0.5337902906112858,0.3651636299711032,0.17198637165461814,0.5093977779321943
19,0.5337902906112858,0.34901152117689127,0.17198637165461814,0.5093977779321943
20,0.5337902906112858,0.33658691000009056,0.17198637165461814,0.5093977779321943
21,0.5337902906112858,0.3598300837225721,0.17198637165461814,0.5093977779321943
22,0.5337902906112858,0.3590159185746846,0.17198637165461814,0.5093977779321943
23,0.5337902906112858,0.3623931305893907,0.17198637165461814,0.5093977779321943
24,0.5337902906112858,0.35378379491954537,0.17198637165461814,0.5093977779321943
25,0.5337902906112858,0.3564820842251539,0.17198637165461814,0.5093977779321943
26,0.5337902906112858,0.3650734520516586,0.17198637165461814,0.5093977779321943
27,0.5337902906112858,0.34053819984707384,0.17198637165461814,0.5093977779321943
28,0.5337902906112858,0.3510573014007987,0.17198637165461814,0.5093977779321943
29,0.5337902906112858,0.3599853598233922,0.17198637165461814,0.5093977779321943
30,0.5337902906112858,0.3589499565773576,0.17198637165461814,0.5093977779321943
31,0.5337902906112858,0.34020380460244165,0.17198637165461814,0.5093977779321943
32,0.5337902906112858,0.3419263405562458,0.17198637165461814,0.5093977779321943
33,0.5337902906112858,0.36096651216228187,0.17198637165461814,0.5093977779321943
34,0.5337902906112858,0.36222416931576457,0.17198637165461814,0.5093977779321943
35,0.5337902906112858,0.3685222359588679,0.17198637165461814,0.5093977779321943
36,0.5337902906112858,0.35999750566373734,0.17198637165461814,0.5093977779321943
37,0.5337902906112858,0.3697499983905784,0.17198637165461814,0.5093977779321943
38,0.5337902906112858,0.3530032617734554,0.17198637165461814,0.5093977779321943
39,0.5337902906112858,0.35609405144321676,0.17198637165461814,0.5093977779321943
40,0.5337902906112858,0.3736223896145884,0.17198637165461814,0.5093977779321943
41,0.5337902906112858,0.3581980429342738,0.17198637165461814,0.5093977779321943
42,0.5337902906112858,0.3636243499228221,0.17198637165461814,0.5093977779321943
43,0.5337902906112858,0.3480643462505587,0.17198637165461814,0.5093977779321943
44,0.5337902906112858,0.35895078524503726,0.17198637165461814,0.5093977779321943
45,0.5337902906112858,0.340465978034726,0.17198637165461814,0.5093977779321943
46,0.5337902906112858,0.3563887225271821,0.17198637165461814,0.5093977779321943
47,0.5337902906112858,0.36328932366835975,0.17198637165461814,0.5093977779321943
48,0.5337902906112858,0.3555734715162077,0.17198637165461814,0.5093977779321943
49,0.5337902906112858,0.3650223597839775,0.17198637165461814,0.5093977779321943
50,0.5337902906112858,0.36390655726187215,0.17198637165461814,0.5093977779321943
51,0.5337902906112858,0.35134447277815367,0.17198637165461814,0.5093977779321943
52,0.5337902906112858,0.37650451516751177,0.17198637165461814,0.5093977779321943
53,0.5337902906112858,0.3577398399435135,0.17198637165461814,0.5093977779321943
54,0.5337902906112858,0.3672261369469118,0.17198637165461814,0.5093977779321943
