generation,best_fitness,mean_fitness
0,0.5712310034659601,0.5444525211625116
1,0.5897499623141127,0.5504178016997352
2,0.5897499623141127,0.5529642644724889
3,0.5897499623141127,0.5446338786990791
4,0.5897499623141127,0.5391197663733511
5,0.5897499623141127,0.534761310463724
6,0.5897499623141127,0.5363212634210232
7,0.5897499623141127,0.5348586265216458
8,0.5897499623141127,0.5384326125068061
9,0.5897499623141127,0.5482096974803864
10,0.5897499623141127,0.5362779568167741
11,0.5897499623141127,0.5331612338677028
12,0.5897499623141127,0.5372727570574329
13,0.5897499623141127,0.5391865730391697
14,0.5897499623141127,0.5363145513901967
15,0.5897499623141127,0.5333996044312961
16,0.5897499623141127,0.5443077573711139
17,0.5897499623141127,0.5382935340283387
18,0.5897499623141127,0.5355380251500405
19,0.5897499623141127,0.5411626228895021
