                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.384,                 1.1672,                 1.2949,                0.42354,                0.44425,                0.32396,                0.14942,                 1.7238,                 1.2772,                 1.4781,             0.00049486,             0.00049486,             0.00049486
                     35,                 1.3954,                 1.1436,                 1.2921,                0.43633,                0.38916,                 0.3211,                0.14706,                 1.7409,                 1.3005,                 1.4989,             0.00049195,             0.00049195,             0.00049195
                     36,                 1.3533,                 1.0976,                 1.2547,                0.51346,                0.31501,                0.28727,                0.13102,                 1.6906,                 1.2841,                 1.4882,             0.00048904,             0.00048904,             0.00048904
                     37,                 1.3974,                 1.1748,                 1.3026,                 0.4028,                0.36232,                0.29339,                0.13311,                 1.7034,                 1.2687,                 1.5073,             0.00048613,             0.00048613,             0.00048613
                     38,                 1.3255,                 1.0357,                 1.2296,                0.38962,                0.36174,                0.32231,                0.14841,                 1.7309,                 1.2567,                 1.4943,             0.00048322,             0.00048322,             0.00048322
                     39,                 1.3827,                 1.0893,                 1.2665,                0.43679,                0.37844,                0.32825,                0.15407,                 1.7268,                 1.2909,                 1.4621,             0.00048031,             0.00048031,             0.00048031
                     40,                 1.3484,                 1.0805,                 1.2598,                0.46202,                0.37927,                0.33041,                0.14983,                 1.7059,                 1.3848,                  1.453,              0.0004774,              0.0004774,              0.0004774
                     41,                  1.365,                 1.1496,                 1.2853,                0.50838,                0.39695,                0.34818,                0.16195,                  1.706,                 1.3197,                 1.4653,             0.00047449,             0.00047449,             0.00047449
                     42,                 1.3565,                 1.1138,                 1.2549,                0.46412,                0.39752,                0.32798,                 0.1503,                 1.7313,                 1.2614,                 1.5183,             0.00047158,             0.00047158,             0.00047158
                     43,                 1.3631,                 1.0837,                 1.2817,                0.47233,                0.37787,                0.34149,                0.15598,                 1.7344,                 1.2503,                 1.5247,             0.00046867,             0.00046867,             0.00046867
                     44,                 1.3106,                   1.04,                 1.2311,                0.47122,                0.32296,                0.34879,                0.15855,                 1.7078,                 1.2246,                 1.4849,             0.00046575,             0.00046575,             0.00046575
                     45,                 1.3396,                 1.0696,                 1.2542,                 0.5121,                0.35151,                0.37418,                 0.1784,                 1.7005,                 1.2207,                 1.4631,             0.00046284,             0.00046284,             0.00046284
                     46,                 1.4199,                 1.0881,                 1.2701,                0.54631,                 0.3361,                0.36895,                0.17911,                  1.706,                 1.2382,                 1.4576,             0.00045993,             0.00045993,             0.00045993
                     47,                 1.3181,                 1.0831,                 1.2072,                0.55412,                0.30729,                0.36282,                0.17855,                 1.7039,                 1.2563,                 1.4729,             0.00045702,             0.00045702,             0.00045702
                     48,                  1.309,                 1.0441,                 1.2338,                0.42037,                0.39873,                0.36838,                0.16911,                 1.7533,                 1.2612,                 1.5227,             0.00045411,             0.00045411,             0.00045411
                     49,                 1.3245,                 1.0337,                 1.2353,                0.39447,                0.44758,                 0.3623,                0.17336,                 1.6847,                 1.2315,                 1.4913,              0.0004512,              0.0004512,              0.0004512
                     50,                 1.2911,                0.97239,                 1.2213,                0.51917,                0.35336,                0.36543,                0.17564,                 1.6951,                 1.2024,                 1.4765,             0.00044829,             0.00044829,             0.00044829
                     51,                 1.2885,                0.99227,                 1.1988,                0.45728,                0.42673,                0.35889,                 0.1718,                 1.7012,                  1.175,                 1.4646,             0.00044538,             0.00044538,             0.00044538
                     52,                 1.2578,                0.96159,                 1.1882,                  0.488,                0.42883,                 0.3811,                0.17744,                 1.7459,                 1.1925,                 1.4935,             0.00044247,             0.00044247,             0.00044247
                     53,                 1.2826,                0.97319,                 1.1945,                0.52296,                0.39787,                0.37587,                0.17438,                 1.7293,                 1.1911,                 1.4807,             0.00043956,             0.00043956,             0.00043956
                     54,                 1.2402,                0.96278,                  1.187,                0.54538,                0.42604,                0.40623,                0.19427,                 1.6949,                 1.1641,                 1.4603,             0.00043665,             0.00043665,             0.00043665
                     55,                 1.2924,                 1.0022,                 1.2333,                0.54599,                0.39708,                0.38487,                0.18505,                 1.7502,                 1.1585,                  1.506,             0.00043374,             0.00043374,             0.00043374
                     56,                 1.2401,                0.99482,                 1.2304,                0.51206,                0.42493,                 0.3665,                0.17648,                 1.7358,                 1.1727,                 1.4959,             0.00043083,             0.00043083,             0.00043083
                     57,                 1.2585,                0.92805,                 1.1859,                 0.5569,                0.38652,                0.41203,                0.19554,                 1.7772,                 1.1686,                 1.5156,             0.00042792,             0.00042792,             0.00042792
                     58,                 1.2178,                0.91602,                 1.1552,                0.51272,                0.42884,                0.41052,                0.18433,                 1.8563,                  1.182,                 1.5727,             0.00042501,             0.00042501,             0.00042501
                     59,                 1.2451,                0.94037,                 1.1954,                0.51079,                 0.4015,                 0.4321,                 0.2134,                 1.7678,                 1.1537,                 1.5087,              0.0004221,              0.0004221,              0.0004221
                     60,                 1.2324,                0.89637,                 1.1831,                0.51942,                0.40848,                0.42802,                0.20334,                 1.7575,                 1.1431,                 1.4895,             0.00041919,             0.00041919,             0.00041919
                     61,                 1.2377,                 0.9245,                 1.1892,                0.53093,                0.35653,                0.39656,                0.19066,                 1.7494,                 1.1356,                 1.4973,             0.00041627,             0.00041627,             0.00041627
                     62,                 1.2369,                0.91494,                 1.1721,                0.59827,                0.40159,                0.43914,                0.20438,                 1.7302,                  1.136,                 1.5049,             0.00041336,             0.00041336,             0.00041336
                     63,                 1.2648,                0.92891,                 1.1923,                0.56037,                0.40368,                 0.4368,                0.20179,                 1.7584,                 1.1428,                 1.5188,             0.00041045,             0.00041045,             0.00041045
                     64,                 1.1868,                0.91652,                  1.172,                0.51338,                0.42293,                0.43684,                0.20515,                 1.7569,                  1.105,                 1.5207,             0.00040754,             0.00040754,             0.00040754
                     65,                  1.204,                 0.8689,                 1.1426,                0.66363,                0.36264,                0.43765,                0.20339,                 1.7414,                 1.0969,                  1.514,             0.00040463,             0.00040463,             0.00040463
                     66,                 1.1922,                0.85207,                 1.1645,                0.65309,                0.41121,                0.42041,                0.19938,                 1.7414,                 1.1286,                 1.5137,             0.00040172,             0.00040172,             0.00040172
                     67,                 1.2026,                0.85906,                 1.1626,                0.67112,                0.39095,                0.43462,                 0.2033,                 1.7904,                 1.1529,                 1.5424,             0.00039881,             0.00039881,             0.00039881
                     68,                 1.1622,                0.84491,                 1.1503,                0.47869,                0.51904,                 0.4395,                0.20287,                 1.7521,                 1.1025,                  1.501,              0.0003959,              0.0003959,              0.0003959
                     69,                 1.2643,                0.89873,                 1.2047,                0.55889,                0.44535,                0.43583,                0.20032,                  1.742,                 1.1071,                 1.4928,             0.00039299,             0.00039299,             0.00039299
                     70,                  1.212,                0.89094,                  1.174,                 0.5689,                 0.4366,                 0.4731,                0.21554,                 1.7399,                 1.0838,                 1.4909,             0.00039008,             0.00039008,             0.00039008
                     71,                 1.1645,                0.84108,                  1.148,                0.56265,                0.38779,                0.44687,                0.20888,                 1.7286,                 1.1032,                 1.4795,             0.00038717,             0.00038717,             0.00038717
                     72,                 1.2196,                0.91396,                 1.1765,                0.49972,                0.52424,                0.43331,                0.19926,                  1.735,                 1.0977,                 1.4997,             0.00038426,             0.00038426,             0.00038426
